화면 ID,화면위치,화면 이름,설명,비고,디렉토리 명,화면 url,
My-006,,나의 유형 분석 3 (Before),유저가 초기 설문 기반의 유형 분석 결과를 확인하는 페이지,"Home-004 와 상단 토글 제외 구성이 같음.
토글이 before일 경우",my-type,,
My-007,,나의 유형 분석 4 (진행 중),"My-007 페이지 입장 시, 챌린지가 진행 중인 경우","My-006 에서 상단 토글이 after인 경우, endDt가 today보다 클 경우 표출",my-type,,
My-008,,나의 유형 분석 4 (설문 미진행),"My-007 페이지 입장 시, 챌린지가 완료하였으나, After 건강 설문을 진행하지 않은 경우","My-006 에서 상단 토글이 after인 경우, endDt가 today와 같거나 같고, after 설문(my-010 이후) 진행 전일 경우 표출",my-type,,
My-009,,나의 유형 분석 4 (After),유저가 챌린지 종료 건강 설문 기반의 Before&After 결과를 확인하는 페이지,"My-006 에서 상단 토글이 after인 경우, endDt가 today와 같거나 같고, after 설문(my-010 이후) 진행 완료일 경우 표출",my-type,,
"MY-010-a
MY-010-b",,건강 설문 시작 안내 2 (After),유저가 챌린지 종료 후 건강 설문 진행을 안내하는 페이지,"My-006 에서 상단 토글이 after인 경우, endDt가 today와 같거나 같고, after 설문(my-010 이후) 진행 전일 경우 표출되는 버튼을 통해 이동됨.",after-qeustion,,
MY-011,,건강 설문 페이지 1 (After),피부 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,,
MY-012,,건강 설문 페이지 2 (After),대사 밸런스 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,,
MY-013,,건강 설문 페이지 3 (After),장 건강 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,,
MY-014,,건강 설문 페이지 4 (After),면역 과민 반응 카테고리 : 5문항 : 5지선다의 설문 페이지,,after-qeustion,,
MY-015,,설문 분석 로딩 (After),"유저의 설문 종료 후, APP 설문, 챌린지 수행을 종합적으로 분석 중임을 알려주는 페이지",,after-analysis,,
MY-016,,고객센터,유저가 자주 묻는 질문과 문의 관련 사항을 확인 할 수 있는 페이지,,qna,,
